,token,token_id,anchor_type,event_anno
733,peper,18-70,"('0', '0', '0', '0')","('0', '0', '0', '0')"
734,te,18-71,"('0', '0', '0', '0')","('0', '0', '0', '0')"
735,becomen,18-72,"('isOfType', 'isOfType', 'isOfType', 'evokes')","('Getting', 'Getting', 'Getting', 'FinancialTransaction')"
736,",",18-73,"('0', '0', '0', '0')","('0', '0', '0', '0')"
737,ende,18-74,"('0', '0', '0', '0')","('0', '0', '0', '0')"
738,dat,18-75,"('0', '0', '0', '0')","('0', '0', '0', '0')"
739,tot,18-76,"('0', '0', '0', '0')","('0', '0', '0', '0')"
740,redelijcken,18-77,"('0', '0', '0', '0')","('0', '0', '0', '0')"
741,prus,18-78,"('0', '0', '0', '0')","('0', '0', '0', '0')"
742,:,18-79,"('0', '0', '0', '0')","('0', '0', '0', '0')"
743,Ooch,18-80,"('0', '0', '0', '0')","('0', '0', '0', '0')"
744,hebben,18-81,"('0', '0', 'isOfType', '0')","('0', '0', 'HavingInPossession', '0')"
745,geldt,18-82,"('0', '0', '0', '0')","('0', '0', '0', '0')"
746,noch,18-83,"('0', '0', '0', '0')","('0', '0', '0', '0')"
747,cleeden,18-84,"('0', '0', '0', '0')","('0', '0', '0', '0')"
748,om,18-85,"('0', '0', '0', '0')","('0', '0', '0', '0')"
749,derrewaerts,18-86,"('0', '0', '0', '0')","('0', '0', '0', '0')"
750,ie,18-87,"('0', '0', '0', '0')","('0', '0', '0', '0')"
751,mogen,18-88,"('0', '0', '0', '0')","('0', '0', '0', '0')"
752,seijnden,18-89,"('isOfType', 'isOfType', 'isOfType', '0')","('Transportation', 'Transportation', 'Transportation', '0')"
753,.,18-90,"('0', '0', '0', '0')","('0', '0', '0', '0')"
754,e.,18-91,"('0', '0', '0', '0')","('0', '0', '0', '0')"
755,e,18-92,"('0', '0', '0', '0')","('0', '0', '0', '0')"
756,En,19-1,"('0', '0', '0', '0')","('0', '0', '0', '0')"
757,D.o,20-1,"('0', '0', '0', '0')","('0', '0', '0', '0')"
758,S.r,20-2,"('0', '0', '0', '0')","('0', '0', '0', '0')"
759,Is,20-3,"('0', '0', '0', '0')","('0', '0', '0', '0')"
760,sier,20-4,"('0', '0', '0', '0')","('0', '0', '0', '0')"
761,van,20-5,"('0', '0', '0', '0')","('0', '0', '0', '0')"
762,Masilipats.n,20-6,"('0', '0', '0', '0')","('0', '0', '0', '0')"
763,ende,20-7,"('0', '0', '0', '0')","('0', '0', '0', '0')"
764,Paliacaite,20-8,"('0', '0', '0', '0')","('0', '0', '0', '0')"
765,wel,20-9,"('0', '0', '0', '0')","('0', '0', '0', '0')"
766,aengecomen,20-10,"('isOfType', 'isOfType', 'isOfType', 'isOfType')","('Arriving', 'Arriving', 'Arriving', 'Arriving')"
767,t,20-11,"('0', '0', '0', '0')","('0', '0', '0', '0')"
768,',20-12,"('0', '0', '0', '0')","('0', '0', '0', '0')"
769,Jacht,20-13,"('0', '0', '0', '0')","('0', '0', '0', '0')"
770,D,20-14,"('0', '0', '0', '0')","('0', '0', '0', '0')"
771,Battania,20-15,"('0', '0', '0', '0')","('0', '0', '0', '0')"
772,met,20-16,"('0', '0', '0', '0')","('0', '0', '0', '0')"
773,300,20-17,"('0', '0', '0', '0')","('0', '0', '0', '0')"
774,.,20-18,"('0', '0', '0', '0')","('0', '0', '0', '0')"
775,Clauen,20-19,"('0', '0', '0', '0')","('0', '0', '0', '0')"
776,ende,20-20,"('0', '0', '0', '0')","('0', '0', '0', '0')"
777,134,20-21,"('0', '0', '0', '0')","('0', '0', '0', '0')"
778,-,20-22,"('0', '0', '0', '0')","('0', '0', '0', '0')"
779,packen,20-23,"('0', '0', '0', '0')","('0', '0', '0', '0')"
780,cleeden,20-24,"('0', '0', '0', '0')","('0', '0', '0', '0')"
781,",",20-25,"('0', '0', '0', '0')","('0', '0', '0', '0')"
782,blesde,20-26,"('0', '0', '0', '0')","('0', '0', '0', '0')"
783,sorteringe,20-27,"('0', '0', '0', '0')","('0', '0', '0', '0')"
784,",",20-28,"('0', '0', '0', '0')","('0', '0', '0', '0')"
785,alsoo,20-29,"('0', '0', '0', '0')","('0', '0', '0', '0')"
786,den,20-30,"('0', '0', '0', '0')","('0', '0', '0', '0')"
787,tijt,20-31,"('0', '0', '0', '0')","('0', '0', '0', '0')"
788,te,20-32,"('0', '0', '0', '0')","('0', '0', '0', '0')"
789,cort,20-33,"('0', '0', '0', '0')","('0', '0', '0', '0')"
790,was,20-34,"('0', '0', '0', '0')","('0', '0', '0', '0')"
791,",",20-35,"('0', '0', '0', '0')","('0', '0', '0', '0')"
792,omme,20-36,"('0', '0', '0', '0')","('0', '0', '0', '0')"
793,voor,20-37,"('0', '0', '0', '0')","('0', '0', '0', '0')"
794,de,20-38,"('0', '0', '0', '0')","('0', '0', '0', '0')"
795,becomene,20-39,"('0', '0', '0', 'isOfType')","('0', '0', '0', 'Getting')"
796,comrtsr,20-40,"('0', '0', '0', '0')","('0', '0', '0', '0')"
797,.,20-41,"('0', '0', '0', '0')","('0', '0', '0', '0')"
798,van,20-42,"('0', '0', '0', '0')","('0', '0', '0', '0')"
799,hier,20-43,"('0', '0', '0', '0')","('0', '0', '0', '0')"
800,met,20-44,"('0', '0', '0', '0')","('0', '0', '0', '0')"
801,de,20-45,"('0', '0', '0', '0')","('0', '0', '0', '0')"
802,Jachten,20-46,"('0', '0', '0', '0')","('0', '0', '0', '0')"
803,Grootenbrouck,20-47,"('0', '0', '0', '0')","('0', '0', '0', '0')"
804,Brouwershauen,20-48,"('0', '0', '0', '0')","('0', '0', '0', '0')"
805,",",20-49,"('0', '0', '0', '0')","('0', '0', '0', '0')"
806,ende,20-50,"('0', '0', '0', '0')","('0', '0', '0', '0')"
807,Battr,20-51,"('0', '0', '0', '0')","('0', '0', '0', '0')"
808,.,20-52,"('0', '0', '0', '0')","('0', '0', '0', '0')"
809,eenich,20-53,"('0', '0', '0', '0')","('0', '0', '0', '0')"
810,ander,20-54,"('0', '0', '0', '0')","('0', '0', '0', '0')"
811,slach,20-55,"('0', '0', '0', '0')","('0', '0', '0', '0')"
812,ofte,20-56,"('0', '0', '0', '0')","('0', '0', '0', '0')"
813,meerder,20-57,"('0', '0', '0', '0')","('0', '0', '0', '0')"
814,quantiteijt,20-58,"('0', '0', '0', '0')","('0', '0', '0', '0')"
815,cleeden,20-59,"('0', '0', '0', '0')","('0', '0', '0', '0')"
816,",",20-60,"('0', '0', '0', '0')","('0', '0', '0', '0')"
817,te,20-61,"('0', '0', '0', '0')","('0', '0', '0', '0')"
818,becomen,20-62,"('isOfType', 'isOfType', 'isOfType', 'isOfType')","('Getting', 'Arriving', 'Getting', 'Buying')"
819,",",20-63,"('0', '0', '0', '0')","('0', '0', '0', '0')"
820,ende,20-64,"('0', '0', '0', '0')","('0', '0', '0', '0')"
821,dit,20-65,"('0', '0', '0', '0')","('0', '0', '0', '0')"
822,Jaer,20-66,"('0', '0', '0', '0')","('0', '0', '0', '0')"
823,hebben,20-67,"('0', '0', '0', '0')","('0', '0', '0', '0')"
824,oock,20-68,"('0', '0', '0', '0')","('0', '0', '0', '0')"
825,niet,20-69,"('0', '0', '0', '0')","('0', '0', '0', '0')"
826,anders,20-70,"('0', '0', '0', '0')","('0', '0', '0', '0')"
827,te,20-71,"('0', '0', '0', '0')","('0', '0', '0', '0')"
828,verwachten,20-72,"('0', '0', '0', '0')","('0', '0', '0', '0')"
829,",",20-73,"('0', '0', '0', '0')","('0', '0', '0', '0')"
830,Soo,20-74,"('0', '0', '0', '0')","('0', '0', '0', '0')"
831,dat,20-75,"('0', '0', '0', '0')","('0', '0', '0', '0')"
832,de,20-76,"('0', '0', '0', '0')","('0', '0', '0', '0')"
833,Molucq,20-77,"('0', '0', '0', '0')","('0', '0', '0', '0')"
834,",",20-78,"('0', '0', '0', '0')","('0', '0', '0', '0')"
835,Amboina,20-79,"('0', '0', '0', '0')","('0', '0', '0', '0')"
836,ende,20-80,"('0', '0', '0', '0')","('0', '0', '0', '0')"
837,Banida,20-81,"('0', '0', '0', '0')","('0', '0', '0', '0')"
838,gelijck,20-82,"('0', '0', '0', '0')","('0', '0', '0', '0')"
839,mede,20-83,"('0', '0', '0', '0')","('0', '0', '0', '0')"
840,wij,20-84,"('0', '0', '0', '0')","('0', '0', '0', '0')"
841,hier,20-85,"('0', '0', '0', '0')","('0', '0', '0', '0')"
842,in,20-86,"('0', '0', '0', '0')","('0', '0', '0', '0')"
843,Battra,20-87,"('0', '0', '0', '0')","('0', '0', '0', '0')"
844,.,20-88,"('0', '0', '0', '0')","('0', '0', '0', '0')"
845,noch,20-89,"('0', '0', '0', '0')","('0', '0', '0', '0')"
846,een,20-90,"('0', '0', '0', '0')","('0', '0', '0', '0')"
847,Jaer,20-91,"('0', '0', '0', '0')","('0', '0', '0', '0')"
848,onvoorsien,20-92,"('isOfType', '0', '0', '0')","('Getting', '0', '0', '0')"
849,sullen,20-93,"('0', '0', '0', '0')","('0', '0', '0', '0')"
850,moeten,20-94,"('0', '0', '0', '0')","('0', '0', '0', '0')"
851,blijven,20-95,"('0', 'isOfType', '0', '0')","('0', 'BeingAtAPlace', '0', '0')"
852,.,20-96,"('0', '0', '0', '0')","('0', '0', '0', '0')"
853,Ofs,20-97,"('0', '0', '0', '0')","('0', '0', '0', '0')"
854,oock,20-98,"('0', '0', '0', '0')","('0', '0', '0', '0')"
855,acpparent,20-99,"('0', '0', '0', '0')","('0', '0', '0', '0')"
856,dat,20-100,"('0', '0', '0', '0')","('0', '0', '0', '0')"
857,V.,20-101,"('0', '0', '0', '0')","('0', '0', '0', '0')"
858,Ed,20-102,"('0', '0', '0', '0')","('0', '0', '0', '0')"
859,:,20-103,"('0', '0', '0', '0')","('0', '0', '0', '0')"
860,mede,20-104,"('0', '0', '0', '0')","('0', '0', '0', '0')"
861,in,20-105,"('0', '0', '0', '0')","('0', '0', '0', '0')"
862,twee,20-106,"('0', '0', '0', '0')","('0', '0', '0', '0')"
863,Jaeren,20-107,"('0', '0', '0', '0')","('0', '0', '0', '0')"
864,geen,20-108,"('0', '0', '0', '0')","('0', '0', '0', '0')"
865,retour,20-109,"('0', '0', '0', '0')","('0', '0', '0', '0')"
866,van,20-110,"('0', '0', '0', '0')","('0', '0', '0', '0')"
867,daer,20-111,"('0', '0', '0', '0')","('0', '0', '0', '0')"
868,becomen,20-112,"(0, 0, '0', 0)","('Getting', 'Giving', '0', 'Getting')"
869,sullen,20-113,"('0', '0', '0', '0')","('0', '0', '0', '0')"
870,ende,20-114,"('0', '0', '0', '0')","('0', '0', '0', '0')"
871,dat,20-115,"('0', '0', '0', '0')","('0', '0', '0', '0')"
872,vermidts,20-116,"('0', '0', '0', '0')","('0', '0', '0', '0')"
873,V,20-117,"('0', '0', '0', '0')","('0', '0', '0', '0')"
874,Ed,20-118,"('0', '0', '0', '0')","('0', '0', '0', '0')"
875,:,20-119,"('0', '0', '0', '0')","('0', '0', '0', '0')"
876,eijgen,20-120,"('0', '0', '0', '0')","('0', '0', '0', '0')"
877,deffectueusheijt,20-121,"('0', '0', 'evokes', '0')","('0', '0', 'HavingInternalState', '0')"
878,int,20-122,"('0', '0', '0', '0')","('0', '0', '0', '0')"
879,derrewaerts,20-123,"('0', '0', '0', '0')","('0', '0', '0', '0')"
880,beschicken,20-124,"('0', '0', '0', 'isOfType')","('0', '0', '0', 'TransLocation')"
881,van,20-125,"('0', '0', '0', '0')","('0', '0', '0', '0')"
882,de,20-126,"('0', '0', '0', '0')","('0', '0', '0', '0')"
883,Jaerlijcx,20-127,"('0', '0', '0', '0')","('0', '0', '0', '0')"
884,geeijschte,20-128,"('0', '0', '0', '0')","('0', '0', '0', '0')"
885,capitalen,20-129,"('0', '0', '0', '0')","('0', '0', '0', '0')"
886,...,20-130,"('0', '0', '0', '0')","('0', '0', '0', '0')"
887,d'E,21-1,"('0', '0', '0', '0')","('0', '0', '0', '0')"
888,Leeuwwinne,21-2,"('0', '0', '0', '0')","('0', '0', '0', '0')"
889,ende,21-3,"('0', '0', '0', '0')","('0', '0', '0', '0')"
890,Kemphaen,21-4,"('0', '0', '0', '0')","('0', '0', '0', '0')"
891,waren,21-5,"('0', '0', '0', '0')","('0', '0', '0', '0')"
892,op,21-6,"('0', '0', '0', '0')","('0', '0', '0', '0')"
893,2en,21-7,"('0', '0', '0', '0')","('0', '0', '0', '0')"
894,Novemb,21-8,"('0', '0', '0', '0')","('0', '0', '0', '0')"
895,.,21-9,"('0', '0', '0', '0')","('0', '0', '0', '0')"
896,pasro,21-10,"('0', '0', '0', '0')","('0', '0', '0', '0')"
897,doen,21-11,"('0', '0', '0', '0')","('0', '0', '0', '0')"
898,d'Engelsche,21-12,"('0', '0', '0', '0')","('0', '0', '0', '0')"
900,Abigael,21-13,"('0', '0', '0', '0')","('0', '0', '0', '0')"
901,van,21-14,"('0', '0', '0', '0')","('0', '0', '0', '0')"
902,daer,21-15,"('0', '0', '0', '0')","('0', '0', '0', '0')"
903,vertrock,21-16,"('0', 'isOfType', 'isOfType', 0)","('0', 'Leaving', 'Leaving', 'Leaving')"
904,",",21-17,"('0', '0', '0', '0')","('0', '0', '0', '0')"
905,aldaer,21-18,"('0', '0', '0', '0')","('0', '0', '0', '0')"
906,noch,21-19,"('0', '0', '0', '0')","('0', '0', '0', '0')"
907,niet,21-20,"('0', '0', '0', '0')","('0', '0', '0', '0')"
908,verlcheinen,21-21,"('0', 'isOfType', 'isOfType', 'isOfType')","('0', 'Arriving', 'Arriving', 'TransLocation')"
909,",",21-22,"('0', '0', '0', '0')","('0', '0', '0', '0')"
910,Ende,21-23,"('0', '0', '0', '0')","('0', '0', '0', '0')"
911,is,21-24,"('0', '0', '0', '0')","('0', '0', '0', '0')"
912,apparent,21-25,"('0', '0', '0', '0')","('0', '0', '0', '0')"
913,dat,21-26,"('0', '0', '0', '0')","('0', '0', '0', '0')"
914,geduerende,21-27,"('0', '0', '0', '0')","('0', '0', '0', '0')"
915,t'noorder,21-28,"('0', '0', '0', '0')","('0', '0', '0', '0')"
916,Mouson,21-29,"('0', '0', '0', '0')","('0', '0', '0', '0')"
917,",",21-30,"('0', '0', '0', '0')","('0', '0', '0', '0')"
918,daer,21-31,"('0', '0', '0', '0')","('0', '0', '0', '0')"
919,oock,21-32,"('0', '0', '0', '0')","('0', '0', '0', '0')"
920,niet,21-33,"('0', '0', '0', '0')","('0', '0', '0', '0')"
921,sullen,21-34,"('0', '0', '0', '0')","('0', '0', '0', '0')"
922,connen,21-35,"('0', '0', '0', '0')","('0', '0', '0', '0')"
923,comen,21-36,"('0', 0, 'isOfType', '0')","('0', 0, 'Arriving', '0')"
924,—,21-37,"('0', '0', '0', '0')","('0', '0', '0', '0')"
925,.,21-38,"('0', '0', '0', '0')","('0', '0', '0', '0')"
926,De,22-1,"('0', '0', '0', '0')","('0', '0', '0', '0')"
927,Paliacatsche,22-2,"('0', '0', '0', '0')","('0', '0', '0', '0')"
928,sorteringe,22-3,"('0', '0', '0', '0')","('0', '0', '0', '0')"
929,welck,22-4,"('0', '0', '0', '0')","('0', '0', '0', '0')"
930,al,22-5,"('0', '0', '0', '0')","('0', '0', '0', '0')"
931,geschilderde,22-6,"('0', '0', '0', '0')","('0', '0', '0', '0')"
932,doecken,22-7,"('0', '0', '0', '0')","('0', '0', '0', '0')"
933,sijn,22-8,"('0', '0', '0', '0')","('0', '0', '0', '0')"
934,;,22-9,"('0', '0', '0', '0')","('0', '0', '0', '0')"
935,sal,22-10,"('0', '0', '0', '0')","('0', '0', '0', '0')"
936,niet,22-11,"('0', '0', '0', '0')","('0', '0', '0', '0')"
937,eerder,22-12,"('0', '0', '0', '0')","('0', '0', '0', '0')"
938,dan,22-13,"('0', '0', '0', '0')","('0', '0', '0', '0')"
939,in,22-14,"('0', '0', '0', '0')","('0', '0', '0', '0')"
940,Maij,22-15,"('0', '0', '0', '0')","('0', '0', '0', '0')"
941,a.o,22-16,"('0', '0', '0', '0')","('0', '0', '0', '0')"
942,.,22-17,"('0', '0', '0', '0')","('0', '0', '0', '0')"
943,1628,22-18,"('0', '0', '0', '0')","('0', '0', '0', '0')"
944,.,22-19,"('0', '0', '0', '0')","('0', '0', '0', '0')"
945,gereedt,22-20,"('0', '0', '0', '0')","('0', '0', '0', '0')"
946,wesen,22-21,"('0', '0', '0', '0')","('0', '0', '0', '0')"
947,;,22-22,"('0', '0', '0', '0')","('0', '0', '0', '0')"
948,Ouer,22-23,"('0', '0', '0', '0')","('0', '0', '0', '0')"
949,de,22-24,"('0', '0', '0', '0')","('0', '0', '0', '0')"
950,32,22-25,"('0', '0', '0', '0')","('0', '0', '0', '0')"
951,.,22-26,"('0', '0', '0', '0')","('0', '0', '0', '0')"
952,E,22-27,"('0', '0', '0', '0')","('0', '0', '0', '0')"
953,Pagoden,22-28,"('0', '0', '0', '0')","('0', '0', '0', '0')"
954,hadden,22-29,"('0', '0', '0', '0')","('0', '0', '0', '0')"
955,d'onse,22-30,"('0', '0', '0', '0')","('0', '0', '0', '0')"
956,op,22-31,"('0', '0', '0', '0')","('0', '0', '0', '0')"
957,leueringe,22-32,"('0', '0', '0', '0')","('0', '0', '0', '0')"
958,gegeven,22-33,"('isOfType', '0', '0', 'evokes')","('Giving', '0', '0', 'Buying')"
959,ee,23-1,"('0', '0', '0', '0')","('0', '0', '0', '0')"
960,Om,23-2,"('0', '0', '0', '0')","('0', '0', '0', '0')"
961,de,23-3,"('0', '0', '0', '0')","('0', '0', '0', '0')"
962,Zuijdt,23-4,"('0', '0', '0', '0')","('0', '0', '0', '0')"
963,waren,23-5,"('0', '0', '0', '0')","('0', '0', '0', '0')"
964,de,23-6,"('0', '0', '0', '0')","('0', '0', '0', '0')"
965,drije,23-7,"('0', '0', '0', '0')","('0', '0', '0', '0')"
966,Naijcken,23-8,"('0', '0', '0', '0')","('0', '0', '0', '0')"
967,vereinicht,23-9,"('isOfType', '0', 'isOfType', '0')","('Collaboration', '0', 'Collaboration', '0')"
968,",",23-10,"('0', '0', '0', '0')","('0', '0', '0', '0')"
969,waer,23-11,"('0', '0', '0', '0')","('0', '0', '0', '0')"
970,door,23-12,"('0', '0', '0', '0')","('0', '0', '0', '0')"
971,aipparent,23-13,"('0', '0', '0', '0')","('0', '0', '0', '0')"
972,is,23-14,"('0', '0', '0', '0')","('0', '0', '0', '0')"
973,den,23-15,"('0', '0', '0', '0')","('0', '0', '0', '0')"
974,Standt,23-16,"('0', '0', '0', '0')","('0', '0', '0', '0')"
975,in,23-17,"('0', '0', '0', '0')","('0', '0', '0', '0')"
976,die,23-18,"('0', '0', '0', '0')","('0', '0', '0', '0')"
977,Quartieren,23-19,"('0', '0', '0', '0')","('0', '0', '0', '0')"
978,vrij,23-20,"('0', '0', 'isOfType', '0')","('0', '0', 'HavingInternalState+', '0')"
979,wat,23-21,"('0', '0', 'isOfType', '0')","('0', '0', 'HavingInternalState+', '0')"
980,beteren,23-22,"('isOfType', 'evokes', 'isOfType', 'isOfType')","('HavingInternalState+', 'HavingInternalState+', 'HavingInternalState+', 'HavingInternalState+')"
981,dat,23-23,"('0', '0', '0', '0')","('0', '0', '0', '0')"
982,ende,23-24,"('0', '0', '0', '0')","('0', '0', '0', '0')"
983,datmen,23-25,"('0', '0', '0', '0')","('0', '0', '0', '0')"
984,metter,23-26,"('0', '0', '0', '0')","('0', '0', '0', '0')"
985,tijt,23-27,"('0', '0', '0', '0')","('0', '0', '0', '0')"
986,goede,23-28,"('0', '0', '0', '0')","('0', '0', '0', '0')"
987,partije,23-29,"('0', '0', '0', '0')","('0', '0', '0', '0')"
988,sal,23-30,"('0', '0', '0', '0')","('0', '0', '0', '0')"
989,peter,23-31,"('0', '0', '0', '0')","('0', '0', '0', '0')"
990,sal,23-32,"('0', '0', '0', '0')","('0', '0', '0', '0')"
991,connen,23-33,"('0', '0', '0', '0')","('0', '0', '0', '0')"
992,becomen,23-34,"(0, 'isOfType', 'isOfType', 'isOfType')","('Getting', 'Getting', 'Getting', 'Buying')"
993,.,23-35,"('0', '0', '0', '0')","('0', '0', '0', '0')"
994,eeeee,23-36,"('0', '0', '0', '0')","('0', '0', '0', '0')"
995,Isen,24-1,"('0', '0', '0', '0')","('0', '0', '0', '0')"
996,Calliacatte,24-2,"('0', '0', '0', '0')","('0', '0', '0', '0')"
997,geeft,24-3,"('0', 'isOfType', '0', '0')","('0', 'Giving', '0', '0')"
998,het,24-4,"('0', '0', '0', '0')","('0', '0', '0', '0')"
999,Goudt,24-5,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1000,van,24-6,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1001,Guinea,24-7,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1002,10½,24-8,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1003,8r,24-9,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1004,.,24-10,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1005,cento,24-11,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1006,advance,24-12,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1007,ende,24-13,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1008,was,24-14,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1009,t'Cattoen,24-15,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1011,daer,24-16,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1012,soo,24-17,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1013,dier,24-18,"('0', '0', 'evokes', '0')","('0', '0', 'HavingInternalState+', '0')"
1014,",",24-19,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1015,als,24-20,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1016,in,24-21,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1017,lange,24-22,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1018,Jaren,24-23,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1019,niet,24-24,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1020,geweest,24-25,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1021,is,24-26,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1022,Pr.,24-27,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1023,Madilwals,24-28,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1024,.,24-29,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1025,continueerden,24-30,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1026,de,24-31,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1027,Mooren,24-32,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1028,haere,24-33,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1029,Monovolien,24-34,"('0', '0', '0', 'isOfType')","('0', '0', '0', 'BeingInConflict')"
1030,ende,24-35,"('0', '0', '0', 'isOfType')","('0', '0', '0', 'BeingInConflict')"
1031,Qquardt,24-36,"('isOfType', '0', '0', 'isOfType')","('ViolentContest', '0', '0', 'BeingInConflict')"
1032,tractement,24-37,"('isOfType', '0', '0', 'isOfType')","('ViolentContest', '0', '0', 'BeingInConflict')"
1033,t'ontwaerts,24-38,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1034,;,24-39,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1035,Met,24-40,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1036,niemant,24-41,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1037,anders,24-42,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1038,dan,24-43,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1039,met,24-44,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1040,drije,24-45,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1041,deee,24-46,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1042,pachters,24-47,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1043,",",24-48,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1044,mochten,24-49,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1045,d'onse,24-50,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1046,aldaer,24-51,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1047,handelen,24-52,"('isOfType', 'isOfType', 'isOfType', 'isOfType')","('FinancialTransaction', 'FinancialTransaction', 'FinancialTransaction', 'FinancialTransaction')"
1048,;,24-53,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1049,Ende,24-54,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1050,noch,24-55,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1051,werdt,24-56,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1052,haer,24-57,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1053,opgedicongen,24-58,"('isOfType', '0', '0', '0')","('ViolentContest', '0', '0', '0')"
1054,sulcken,24-59,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1055,sorteringe,24-60,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1056,als,24-61,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1057,sij,24-62,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1058,selfs,24-63,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1059,willen,24-64,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1060,:,24-65,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1061,Waer,24-66,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1062,tegen,24-67,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1063,met,24-68,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1064,soete,24-69,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1065,middelen,24-70,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1066,niet,24-71,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1067,te,24-72,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1068,doen,24-73,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1069,is,24-74,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1070,.,24-75,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1071,Soo,24-76,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1072,de,24-77,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1073,liberteijt,24-78,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1074,vanden,24-79,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1075,handel,24-80,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1076,gelijck,24-81,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1077,mede,24-82,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1078,voldoeninge,24-83,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1079,van,24-84,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1080,d'affgedrongen,24-85,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1081,U,24-86,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1082,E,24-87,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1083,Nagoden,24-88,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1084,",",24-89,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1085,ende,24-90,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1086,van,24-91,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1087,andere,24-92,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1088,geledene,24-93,"('0', '0', '0', '0')","('0', '0', '0', '0')"
1089,schaden,24-94,"('0', 'evokes', '0', '0')","('0', 'BeingDamaged', '0', '0')"
1090,ende,24-95,"('0', '0', '0', '0')","('0', '0', '0', '0')"
